time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2018-06-28 01:19:40.747 UTC, ,125,3159725,952,13872, , ,3, ,6, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , ,1, , , ,3159725,1218,1,573,573,1, ,2,4,1266,672141312,51,51, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1530148780475, , , , ,3145728,1218, , , ,4,4,9,4,3,4, , ,3,5, , , , , , , ,38,1, , ,12288,3,1228,4, , , , ,2,212,8,107,119743968,1, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-06-28 01:20:40.751 UTC, ,589,3177245,1416,30704,224, ,5, ,83, , , , , , , , , ,5,5, , , , ,1,5, ,5, , , , , , , , , ,1, , , ,3177245,1218,1,573,573, , , , ,11369,672305152,59,59, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11369, ,1530148780475, , , , ,3145728,11342, , , ,9,16,83,16,2,16, , ,3,17, , , , , , , , , , , ,4096,2,10103,16, , , , ,1,185,1,14,189935176, , , , , , , ,80, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,30, , ,17,32,16, , , , , , 
2018-06-28 01:21:40.754 UTC, ,589,3177245,1416,30704,224, ,5, ,3, , , , , , , , , ,5,5, , , , ,1,5, ,2, , , , , , , , , ,1, , , ,3177245,1218,1,573,573, , , , ,11369,672182272,59,59, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11369, ,1530148780475, , , , ,3145728,11342, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,207084464, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1, , , , , , , 
2018-06-28 01:22:40.757 UTC, ,589,3177245,1416,30704,224, ,5, , , , , , , , , , , ,5,5, , , , ,1,5, , , , , , , , , , , ,1, , , ,3177245,1218,1,573,573, , , , ,11369,672182272,59,59, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11369, ,1530148780475, , , , ,3145728,11342, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,207940880,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-06-28 01:23:40.760 UTC, ,589,3177245,1416,30704,224, ,5, , , , , , , , , , , ,5,5, , , , ,1,5, , , , , , , , , , , ,1, , , ,3177245,1218,1,573,573, , , , ,11369,672182272,59,59, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11369, ,1530148780475, , , , ,3145728,11342, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,207940880, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-06-28 01:24:40.763 UTC, ,589,3177245,1416,30704,224, ,5, , , , , , , , , , , ,5,5, , , , ,1,5, , , , , , , , , , , ,1, , , ,3177245,1218,1,573,573, , , , ,11369,672182272,59,59, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11369, ,1530148780475, , , , ,3145728,11342, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,207940880, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-06-28 01:25:40.766 UTC, ,589,3177245,1416,30704,224, ,5, , , , , , , , , , , ,5,5, , , , ,1,5, , , , , , , , , , , ,1, , , ,3177245,1218,1,573,573, , , , ,11369,672055296,59,59, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11369, ,1530148780475, , , , ,3145728,11342, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,207940880, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-06-28 01:26:40.768 UTC, ,589,3177245,1416,30704,224, ,5, , , , , , , , , , , ,5,5, , , , ,1,5, , , , , , , , , , , ,1, , , ,3177245,1218,1,573,573, , , , ,11369,672051200,59,59, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11369, ,1530148780475, , , , ,3145728,11342, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,207940880,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-06-28 01:27:24.808 UTC, ,125,3169925,1416,24072, , ,5, ,140,5,0.04, , , , , , , ,5,5, ,50, ,3,3,6, ,87,10, , , , , , , , ,1, , , ,3169925,13408,2,11439,11439,1, ,5,10,13456,863404032,-1,-1, , , , , ,2,75, , , , , , , , , , , , , , , , , , , , , , , , , ,13456, ,1530149244476, , , , ,3145728,13408, , ,19,2,1,2,1,4,1, , ,3,2, , , ,19, ,2048,1, , , , ,188914,42,2087,1, , , , ,3,309,9,99,77368576,1, , , , , , ,87, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-06-28 01:28:31.724 UTC, ,125,3161989,1416,16136, , ,3, ,29,3,0.10, , , , , , , ,3,3, ,2, ,2,1,4, ,26,11, , , , , , , , ,1, , , ,3161989,13408,2, ,11439, , , , ,13456,863150080,54,54, , , , , ,2,91, , , , , , , , , , , , , , , , , , , , , , , , , ,13456, ,1530149311399, , , , ,3145728,13408, , ,19,0, , , ,2, , , ,3, , , , ,19, ,2048,1, , , , ,117419,32, , , , , , ,3,304,9,100,88288720,2, , , , , , ,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
